dimension_type,dimension_users,segment_dimension_users,dimension,users,segment_users,overlap,index
Germany,2342811,144528,2024-05-16,218625,10687,0.07394414923059892,79.23941278586103
United Kingdom,4134942,72023,2024-05-21,420453,15886,0.22056842952945588,216.91786314650804
France,2218323,447173,2024-05-22,230734,61892,0.13840728308730627,133.06754073525465
United States,26998718,625699,2024-05-25,2337778,56759,0.09071294664047728,104.76329511593032
United States,26998718,625699,2024-05-23,2591389,66979,0.10704667899421287,111.52795273119077
Germany,2342811,144528,2024-05-22,255666,61609,0.4262772611535481,390.6217707792218
United Kingdom,4134942,72023,2024-05-19,353078,5971,0.08290407231023424,97.0900284261904
Italy,6011363,506569,2024-05-18,715882,154346,0.30468899597093385,255.85168461936755
Spain,3234858,167532,2024-05-18,336224,34244,0.20440274096888952,196.65872806377297
Spain,3234858,167532,2024-05-26,378264,34304,0.2047608815032352,175.10848920801146
Italy,6011363,506569,2024-05-25,680583,110186,0.2175142971638612,192.12313530338548
Germany,2342811,144528,2024-05-14,210033,3438,0.023787778146795086,26.534053366790523
Germany,2342811,144528,2024-05-15,225406,6367,0.04405374737075169,45.7883126143129
Spain,3234858,167532,2024-05-16,317262,18351,0.10953728242962539,111.68609993183335
United Kingdom,4134942,72023,2024-05-18,360413,7250,0.10066228843563861,115.48771111714518
Germany,2342811,144528,2024-05-17,223067,12992,0.0898926159636887,94.41172808999335
Spain,3234858,167532,2024-05-15,328913,14835,0.0885502471169687,87.08913156010955
France,2218323,447173,2024-05-20,192521,47463,0.10614012921173685,122.29995161741718
United Kingdom,4134942,72023,2024-05-16,393275,8381,0.11636560543159824,122.3482370490226
United Kingdom,4134942,72023,2024-05-24,394261,9143,0.1269455590575233,133.13833320070552
France,2218323,447173,2024-05-26,182874,35415,0.07919753652389568,96.06926999699128
Spain,3234858,167532,2024-05-20,347429,34683,0.20702313587851873,192.75605872903913
Germany,2342811,144528,2024-05-19,183308,5719,0.0395701870917746,50.573608129851145
United Kingdom,4134942,72023,2024-05-22,391193,10568,0.14673090540521777,155.09576691251172
United States,26998718,625699,2024-05-21,2725473,144341,0.23068759898929037,228.52067994102075
United States,26998718,625699,2024-05-24,2788273,64255,0.10269314798329549,99.43729838983714
United States,26998718,625699,2024-05-14,1875536,8774,0.014022716993314676,20.185983190741787
Italy,6011363,506569,2024-05-19,648223,98867,0.19516985840033638,180.99278573932446
Germany,2342811,144528,2024-05-18,200248,13463,0.0931515000553526,108.98304052783581
France,2218323,447173,2024-05-24,225032,49604,0.11092798536584275,109.3507151341642
United States,26998718,625699,2024-05-19,2346298,84611,0.13522636283580444,155.6042086883066
Italy,6011363,506569,2024-05-22,690796,111200,0.2195159988076649,191.02460829831685
Italy,6011363,506569,2024-05-24,806330,125082,0.24691996549334838,184.084127407884
United States,26998718,625699,2024-05-22,2758894,113786,0.18185421424678638,177.96372921759834
United Kingdom,4134942,72023,2024-05-25,344263,6560,0.09108201546728129,109.39858515155885
United Kingdom,4134942,72023,2024-05-17,362525,8410,0.11676825458534079,133.18528657378613
Italy,6011363,506569,2024-05-14,767078,27984,0.05524222761361236,43.2916969479046
Italy,6011363,506569,2024-05-16,581525,40948,0.08083400287029013,83.56004195801657
Spain,3234858,167532,2024-05-22,365711,33079,0.19744884559367762,174.65128961378596
United States,26998718,625699,2024-05-20,2583965,147085,0.23507309425138925,245.61757535727762
France,2218323,447173,2024-05-19,193145,36218,0.08099326211555706,93.02297040874414
Germany,2342811,144528,2024-05-20,196841,6361,0.04401223292372412,52.38357020552783
France,2218323,447173,2024-05-16,239452,79504,0.17779248747129187,164.70990602909083
Italy,6011363,506569,2024-05-23,827042,147913,0.29198983751473145,212.23310371324175
France,2218323,447173,2024-05-23,229765,62568,0.13991900226534248,135.0882601189308
Germany,2342811,144528,2024-05-26,211845,12424,0.08596258164507915,95.06671475205435
France,2218323,447173,2024-05-15,212569,37847,0.08463614753126866,88.32440887429799
France,2218323,447173,2024-05-17,228702,73008,0.16326567122791402,158.36153317212788
Spain,3234858,167532,2024-05-23,354590,38590,0.23034405367332808,210.13855573411396
United Kingdom,4134942,72023,2024-05-26,361532,7219,0.1002318703747414,114.63797687371353
Germany,2342811,144528,2024-05-24,223062,13953,0.09654184656260378,101.3975038720985
Germany,2342811,144528,2024-05-21,218892,17737,0.12272362448798849,131.35165168682676
Spain,3234858,167532,2024-05-24,303112,27241,0.16260177160184322,173.53111776518097
United States,26998718,625699,2024-05-16,2511561,48422,0.07738864853547792,83.19106317586876
United Kingdom,4134942,72023,2024-05-23,375266,10896,0.15128500617858184,166.69635032698875
Spain,3234858,167532,2024-05-19,366009,34666,0.2069216627271208,182.88134883189443
Italy,6011363,506569,2024-05-20,654133,79020,0.15599059555559064,143.35251309303186
United Kingdom,4134942,72023,2024-05-14,368754,2450,0.03401691126445719,38.144116429293554
United States,26998718,625699,2024-05-18,2476188,68444,0.10938806039325619,119.26951407261859
Germany,2342811,144528,2024-05-23,268855,31291,0.21650476032325916,188.66293505335406
Italy,6011363,506569,2024-05-21,669797,98304,0.1940584599531357,174.1655824076939
United Kingdom,4134942,72023,2024-05-20,393453,12048,0.1672798966996654,175.80058370862793
Germany,2342811,144528,2024-05-25,207213,18795,0.13004400531384921,147.0315695122142
France,2218323,447173,2024-05-21,202585,45969,0.10279914037743781,112.56593404225337
Italy,6011363,506569,2024-05-15,676368,40364,0.0796811490636024,70.81829880751663
Spain,3234858,167532,2024-05-21,365994,32043,0.19126495236730892,169.0505749506845
Italy,6011363,506569,2024-05-26,704132,130492,0.2575996557231098,219.9197081266922
Spain,3234858,167532,2024-05-25,307232,26093,0.15574934937802928,163.98911208152572
Spain,3234858,167532,2024-05-17,362698,27492,0.16409999283718932,146.35872671735842
United States,26998718,625699,2024-05-15,2660066,30329,0.04847218870415328,49.19753696585798
Spain,3234858,167532,2024-05-14,370782,12115,0.072314542893298,63.09024645067133
Italy,6011363,506569,2024-05-17,644205,51115,0.10090431905623913,94.15830211110917
France,2218323,447173,2024-05-14,202774,19040,0.04257859933403851,46.5804719591675
United States,26998718,625699,2024-05-26,2134374,55744,0.08909076089301725,112.69516634647916
United Kingdom,4134942,72023,2024-05-15,390203,5486,0.07617011232522944,80.7167029977496
United States,26998718,625699,2024-05-17,2557261,55057,0.08799278886493346,92.89988360976366
France,2218323,447173,2024-05-18,221078,43764,0.09786816288103262,98.20208102422716
France,2218323,447173,2024-05-25,195937,47141,0.10542004995829354,119.35250691989343
